SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
NTB-GRD-TN-JUN-IM,Notebook (bound journal),4820102060,CA
NTB-GRD-TN-PAC-IM,Notebook (bound journal),4820102060,CA
NTB-GRD-TN-WOR-IM-AA,Notebook (bound journal),4820102060,CA
NTB-GRD-TN-WOR-IM,Notebook (bound journal),4820102060,CA
FR-TRNSPKT,,,CA
GFT-10,,,CA
GC-100,,,CA
GC-125,,,CA
GFT-15,,,CA
GC-150,,,CA
GC-200,,,CA
GFT-25,,,CA
GFT-5,,,CA
GC-50,,,CA
GC-75,,,CA
INS-A5-A5X,Planner inserts (loose refills),4820900000,CA
INS-CL-CLA,Planner inserts (loose refills),4820900000,CA
INS-HL-HAL,Planner inserts (loose refills),4820900000,CA
GRP-AUT-CF7,Notebook (bound journal),4820102060,CA
GRP-CHB-CF7,Notebook (bound journal),4820102060,CA
GRP-AST-CF7,Notebook (bound journal),4820102060,CA
GRP-ENF-CF7,Notebook (bound journal),4820102060,CA
GRP-FWN-CF7,Notebook (bound journal),4820102060,CA
GRP-MON-CF7,Notebook (bound journal),4820102060,CA
GRP-MOS-CF7,Notebook (bound journal),4820102060,CA
GRP-RIV-CF7,Notebook (bound journal),4820102060,CA
GRP-SCO-CF7,Notebook (bound journal),4820102060,CA
GRP-AUT-HA5,Notebook (bound journal),4820102060,CA
GRP-BLF-HA5,Notebook (bound journal),4820102060,CA
GRP-BTC-HA5,Notebook (bound journal),4820102060,CA
GRP-CHB-HA5,Notebook (bound journal),4820102060,CA
GRP-AST-HA5,Notebook (bound journal),4820102060,CA
GRP-ENF-HA5,Notebook (bound journal),4820102060,CA
GRP-FWN-HA5,Notebook (bound journal),4820102060,CA
GRP-MON-HA5,Notebook (bound journal),4820102060,CA
GRP-MOS-HA5,Notebook (bound journal),4820102060,CA
GRP-RIV-HA5,Notebook (bound journal),4820102060,CA
GRP-SCO-HA5,Notebook (bound journal),4820102060,CA
GRP-SNP-HA5,Notebook (bound journal),4820102060,CA
